Category	GeneSet	N_genes	N_overlap	p	adjP	genes	link
GO_bp	GO_RESPONSE_TO_CYTOKINE	1128	84	6.133432236494639e-18	4.5080726938235596e-14	TNFRSF9:IL23R:IL12RB2:MCL1:RORC:MUC1:GBA:NR5A2:MAPKAPK2:IL10:IL19:IL20:IRF6:MAP3K8:ETS1:IFNG:IL26:PTPN11:ZFP36L1:SMAD3:ZFAND6:SOCS1:IL27:NOD2:CYLD:CCL2:CCL7:CCL11:CCL8:CCL13:CCL1:PSMD3:CSF3:KAT2A:STAT5B:STAT5A:STAT3:PTPN2:SBNO2:ICAM1:TYK2:CDC37:KEAP1:ZFP36L2:REL:IL1R2:IL1R1:IL1RL1:IL18R1:IL18RAP:ITGA4:RUFY4:CXCR2:CXCR1:GPR35:TNFRSF6B:IFNGR2:RPL3:SYNGR1:TAB1:SETD2:SLC26A6:IP6K2:IMPDH2:RHOA:TRAIP:MST1R:HYAL2:IL2:IL21:OSMR:IL3:CSF2:IRF1:IL5:CAMK2A:IRGM:IL12B:FYN:CCR6:CUL1:JAK2:TNFSF15:TNFSF8	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_RESPONSE_TO_CYTOKINE
GO_bp	GO_CYTOKINE_MEDIATED_SIGNALING_PATHWAY	737	63	2.256571752385773e-16	5.651030013566172e-13	TNFRSF9:IL23R:IL12RB2:MCL1:RORC:MUC1:IL10:IL19:IL20:IRF6:MAP3K8:IFNG:IL26:PTPN11:SOCS1:IL27:NOD2:CYLD:CCL2:CCL7:CCL11:CCL8:CCL13:CCL1:PSMD3:CSF3:STAT5B:STAT5A:STAT3:PTPN2:ICAM1:TYK2:CDC37:IL1R2:IL1R1:IL1RL1:IL18R1:IL18RAP:CXCR2:CXCR1:GPR35:TNFRSF6B:IFNGR2:TAB1:IP6K2:TRAIP:MST1R:IL2:IL21:OSMR:IL3:CSF2:IRF1:IL5:CAMK2A:IRGM:IL12B:FYN:CCR6:CUL1:JAK2:TNFSF15:TNFSF8	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CYTOKINE_MEDIATED_SIGNALING_PATHWAY
GO_bp	GO_REGULATION_OF_IMMUNE_SYSTEM_PROCESS	1437	94	2.30654286268007e-16	5.651030013566172e-13	PARK7:IL23R:CTSS:CTSK:ARNT:MUC1:CD244:FCGR2A:FCGR3A:FCGR2B:DENND1B:C1orf106:MAPKAPK2:IL10:IL20:PIGR:MAP3K8:ZMIZ1:ETS1:LRRK2:MUC19:IFNG:TRAFD1:PTPN11:ZFP36L1:SMAD3:SOCS1:PRKCB:IL27:CD19:LAT:ADCY7:NOD2:CYLD:PLCG2:CCL2:CCL7:CCL8:CCL1:ERBB2:IKZF3:PSMD3:CSF3:DHX58:KAT2A:STAT5B:STAT3:PTPN2:STK11:ICAM1:ICAM4:ICAM5:ICAM3:CDC37:ZFP36L2:IL1R1:IL1RL1:IL18R1:IL18RAP:ITGA4:CXCR2:ARPC2:LIME1:ZBTB46:IFNGR2:ICOSLG:TAB1:NCKIPSD:P4HTM:GPX1:RHOA:TCTA:MST1:FOXP1:IL2:IL21:PTGER4:C7:C6:FNIP1:CSF2:IRF1:IL5:NDFIP1:IRGM:IL12B:PRDM1:TRAF3IP2:FYN:CCR6:CUL1:JAK2:CARD9:NOTCH1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_REGULATION_OF_IMMUNE_SYSTEM_PROCESS
GO_bp	GO_CYTOKINE_PRODUCTION	710	59	7.818714963764947e-15	1.436688874591809e-11	PARK7:ERRFI1:IL23R:IL12RB2:ARNT:GBA:ASH1L:SYT11:LY9:CD244:FCGR2B:DENND1B:C1orf106:MAPKAPK2:IL10:IL19:PRG3:UBE2L6:LRRK2:IFNG:IL26:PTPN11:SMAD3:SOCS1:IL27:NFATC2IP:ADCY7:NOD2:CYLD:PLCG2:CCL1:DHX58:KAT2A:STAT5B:STAT3:REL:IL1R2:IL1R1:IL1RL1:IL18R1:IL18RAP:ITGAV:FERMT1:SETD2:UBA7:TRAIP:HYAL2:TUSC2:FOXP1:IL2:IL21:PTGER4:CSF2:IRF1:NDFIP1:IL12B:JAK2:CARD9:NOTCH1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CYTOKINE_PRODUCTION
GO_bp	GO_REGULATION_OF_DEFENSE_RESPONSE	703	57	6.631375113288466e-14	9.507416586159423e-11	PARK7:IL23R:CTSS:CTSK:MUC1:GBA:ASH1L:SYT11:FCGR2B:C1orf106:MAPKAPK2:IL10:IL20:ETS1:LRRK2:MUC19:IFNG:TRAFD1:PTPN11:SMAD3:SOCS1:IL27:ADCY7:NOD2:CYLD:PLCG2:CCL1:PSMD3:DHX58:STAT5B:PTPN2:GPX4:SBNO2:ICAM3:CDC37:IL1R2:IL1R1:IL1RL1:IL18RAP:IFNGR2:TAB1:GPX1:HYAL2:FOXP1:IL2:IL21:OSMR:PTGER4:IRF1:NDFIP1:IRGM:IL12B:TRAF3IP2:FYN:CUL1:JAK2:CARD9	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_REGULATION_OF_DEFENSE_RESPONSE
GO_bp	GO_LYMPHOCYTE_DIFFERENTIATION	341	38	8.866446526911773e-14	9.507416586159423e-11	IL23R:RORC:GON4L:LY9:FCGR2B:IL10:ZMIZ1:HHEX:NKX2-3:IFNG:ZFP36L1:SOCS1:IL27:CD19:CYLD:PLCG2:ERBB2:IKZF3:KAT2A:STAT5B:STAT3:PTPN2:STK11:ZFP36L2:IL18R1:ITGA4:RHOA:TUSC2:FOXP1:IL2:PTGER4:FNIP1:IRF1:NDFIP1:IL12B:PRDM1:CCR6:TNFSF8	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_LYMPHOCYTE_DIFFERENTIATION
GO_bp	GO_DEFENSE_RESPONSE	1532	92	9.054682463008974e-14	9.507416586159423e-11	PARK7:PLA2G2E:IL23R:CTSS:CTSK:ADAM15:MUC1:GBA:ASH1L:SYT11:LY9:CD244:FCGR2B:C1orf106:MAPKAPK2:IL10:IL20:FAIM3:IRF6:ETS1:LRRK2:MUC19:IFNG:TRAFD1:PTPN11:SMAD3:SOCS1:IL27:NUPR1:LAT:ADCY7:NOD2:CYLD:PLCG2:CCL2:CCL7:CCL11:CCL8:CCL13:CCL1:NEUROD2:PSMD3:DHX58:STAT5B:STAT3:PTPN2:GPX4:SBNO2:ICAM1:ICAM3:TYK2:CDC37:REL:IL1R2:IL1R1:IL1RL1:IL18R1:IL18RAP:CXCR2:ATG16L1:IFNGR2:ICOSLG:TAB1:SETD2:SLC26A6:IP6K2:GPX1:MST1R:HYAL2:TUSC2:FOXP1:IL2:IL21:OSMR:PTGER4:C7:C6:IRF1:IL5:NDFIP1:CAMK2A:IRGM:IL12B:PRDM1:TRAF3IP2:FYN:CCR6:CUL1:JAK2:TNFSF8:CARD9:NOTCH1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_DEFENSE_RESPONSE
GO_bp	GO_LYMPHOCYTE_ACTIVATION	636	53	1.8237148550736665e-13	1.496026216790908e-10	IL23R:RORC:GON4L:LY9:CD244:FCGR2B:IL10:MAP3K8:ZMIZ1:HHEX:NKX2-3:IFNG:PTPN11:ZFP36L1:SMAD3:SOCS1:PRKCB:IL27:CD19:LAT:NOD2:CYLD:PLCG2:CCL2:ERBB2:IKZF3:KAT2A:STAT5B:STAT3:PTPN2:STK11:ICAM1:ZFP36L2:IL18R1:ITGA4:ICOSLG:IMPDH2:RHOA:TUSC2:FOXP1:IL2:IL21:PTGER4:FNIP1:IRF1:IL5:NDFIP1:IL12B:CCND3:PRDM1:FYN:CCR6:TNFSF8	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_LYMPHOCYTE_ACTIVATION
GO_bp	GO_LEUKOCYTE_DIFFERENTIATION	496	46	1.831868836886826e-13	1.496026216790908e-10	IL23R:RORC:EFNA4:GON4L:LY9:FCGR2B:IL10:IL20:ZMIZ1:HHEX:NKX2-3:IFNG:ZFP36L1:SOCS1:IL27:CD19:CYLD:PLCG2:ERBB2:IKZF3:CSF3:KAT2A:STAT5B:STAT3:PTPN2:SBNO2:STK11:ZFP36L2:IL18R1:ITGA4:ZBTB46:RHOA:TCTA:TUSC2:FOXP1:IL2:PTGER4:FNIP1:CSF2:IRF1:IL5:NDFIP1:IL12B:PRDM1:CCR6:TNFSF8	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_LEUKOCYTE_DIFFERENTIATION
GO_bp	GO_POSITIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS	993	69	2.3812672258146373e-13	1.7502314109737586e-10	PARK7:IL23R:CTSS:CTSK:ARNT:MUC1:CD244:FCGR2A:FCGR3A:FCGR2B:DENND1B:C1orf106:MAPKAPK2:IL10:IL20:MAP3K8:ZMIZ1:ETS1:LRRK2:MUC19:IFNG:PTPN11:ZFP36L1:SOCS1:PRKCB:CD19:LAT:NOD2:CYLD:PLCG2:CCL2:CCL7:CCL8:CCL1:PSMD3:CSF3:DHX58:STAT5B:STAT3:PTPN2:STK11:ICAM1:ICAM3:IL1R1:IL1RL1:IL18R1:IL18RAP:ITGA4:CXCR2:ARPC2:LIME1:ZBTB46:ICOSLG:TAB1:NCKIPSD:RHOA:FOXP1:IL2:IL21:C7:C6:IRF1:IL5:IRGM:IL12B:FYN:CCR6:CUL1:CARD9	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_POSITIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS
