Category	GeneSet	N_genes	N_overlap	p	adjP	genes	link
GO_bp	GO_CHROMATIN_ASSEMBLY	152	42	8.327329838454905e-20	6.120587431264356e-16	SPTY2D1:TP53:HIST1H2BA:HIST1H1A:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2BB:HIST1H3C:HIST1H1C:HIST1H4C:HIST1H1T:HIST1H2BC:HIST1H2BD:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H3E:HIST1H1D:HIST1H4F:HIST1H4G:HIST1H3F:HIST1H2BH:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H2BK:HIST1H3H:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H3J:HIST1H2BO:TSPYL4:TSPYL1:PARP10:CDKN2A:SET	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CHROMATIN_ASSEMBLY
GO_bp	GO_CHROMATIN_ASSEMBLY_OR_DISASSEMBLY	178	44	1.243173428796945e-18	4.568662350828773e-15	ARID1A:SPTY2D1:TP53:SMARCA4:HIST1H2BA:HIST1H1A:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2BB:HIST1H3C:HIST1H1C:HIST1H4C:HIST1H1T:HIST1H2BC:HIST1H2BD:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H3E:HIST1H1D:HIST1H4F:HIST1H4G:HIST1H3F:HIST1H2BH:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H2BK:HIST1H3H:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H3J:HIST1H2BO:TSPYL4:TSPYL1:PARP10:CDKN2A:SET	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CHROMATIN_ASSEMBLY_OR_DISASSEMBLY
GO_bp	GO_NUCLEOSOME_ORGANIZATION	168	41	3.0890575770319915e-17	7.568191063728379e-14	ARID1A:SPTY2D1:SMARCA4:HIST1H2BA:HIST1H1A:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2BB:HIST1H3C:HIST1H1C:HIST1H4C:HIST1H1T:HIST1H2BC:HIST1H2BD:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H3E:HIST1H1D:HIST1H4F:HIST1H4G:HIST1H3F:HIST1H2BH:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H2BK:HIST1H3H:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H3J:HIST1H2BO:TSPYL4:TSPYL1:SET	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_NUCLEOSOME_ORGANIZATION
GO_bp	GO_DNA_PACKAGING	195	44	5.1432681272129116e-17	9.450755183753726e-14	SPTY2D1:PHF23:TP53:TSSK6:HIST1H2BA:HIST1H1A:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2BB:HIST1H3C:HIST1H1C:HIST1H4C:HIST1H1T:HIST1H2BC:HIST1H2BD:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H3E:HIST1H1D:HIST1H4F:HIST1H4G:HIST1H3F:HIST1H2BH:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H2BK:HIST1H3H:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H3J:HIST1H2BO:TSPYL4:TSPYL1:PARP10:CDKN2A:SET	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_DNA_PACKAGING
GO_bp	GO_DNA_REPLICATION_DEPENDENT_NUCLEOSOME_ORGANIZATION	32	18	1.3086755373117796e-15	1.923753039848316e-12	HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H3C:HIST1H4C:HIST1H4D:HIST1H3D:HIST1H4E:HIST1H3E:HIST1H4F:HIST1H3F:HIST1H3G:HIST1H4H:HIST1H3H:HIST1H4J:HIST1H4K:HIST1H3J	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_DNA_REPLICATION_DEPENDENT_NUCLEOSOME_ORGANIZATION
GO_bp	GO_LIPID_HOMEOSTASIS	127	33	5.429197937976003e-15	6.650767474020604e-12	LDLRAP1:PCSK9:ANGPTL3:GPAM:APOA5:APOA4:APOC3:APOA1:LIMA1:LIPC:CETP:ASGR2:TMEM97:LIPG:LDLR:C19orf80:APOE:APOC4:APOC2:APOB:GCKR:THADA:ABCG5:ABCG8:HNF4A:PPARG:ACOX2:MTTP:COL4A3BP:MYLIP:LPL:CYP7A1:ABCA1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_LIPID_HOMEOSTASIS
GO_bp	GO_CHROMATIN_SILENCING_AT_RDNA	40	18	2.1266144409652208e-13	2.2329451630134819e-10	HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H3C:HIST1H4C:HIST1H4D:HIST1H3D:HIST1H4E:HIST1H3E:HIST1H4F:HIST1H3F:HIST1H3G:HIST1H4H:HIST1H3H:HIST1H4J:HIST1H4K:HIST1H3J	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CHROMATIN_SILENCING_AT_RDNA
GO_bp	GO_STEROL_HOMEOSTASIS	77	24	3.625218494241654e-13	3.3306694915845196e-10	LDLRAP1:PCSK9:ANGPTL3:APOA5:APOA4:APOC3:APOA1:LIMA1:LIPC:CETP:TMEM97:LIPG:LDLR:APOE:APOC2:APOB:ABCG5:ABCG8:HNF4A:MTTP:MYLIP:LPL:CYP7A1:ABCA1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_STEROL_HOMEOSTASIS
GO_bp	GO_DNA_CONFORMATION_CHANGE	288	48	4.700079458353811e-13	3.7714887353696616e-10	SPTY2D1:PHF23:TP53:TSSK6:ERCC2:TOP1:RTEL1:RBX1:HIST1H2BA:HIST1H1A:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2BB:HIST1H3C:HIST1H1C:HIST1H4C:HIST1H1T:HIST1H2BC:HIST1H2BD:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H3E:HIST1H1D:HIST1H4F:HIST1H4G:HIST1H3F:HIST1H2BH:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H2BK:HIST1H3H:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H3J:HIST1H2BO:TSPYL4:TSPYL1:PARP10:CDKN2A:SET	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_DNA_CONFORMATION_CHANGE
GO_bp	GO_REGULATION_OF_PLASMA_LIPOPROTEIN_PARTICLE_LEVELS	85	25	5.131277190979131e-13	3.7714887353696616e-10	LDLRAP1:PCSK9:APOA5:APOA4:APOC3:APOA1:LIPC:CSK:CETP:ABCA5:LIPG:LDLR:APOE:APOC1:APOC4:APOC2:FGF21:APOB:PLTP:MTTP:MYLIP:LPA:LPL:VLDLR:ABCA1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_REGULATION_OF_PLASMA_LIPOPROTEIN_PARTICLE_LEVELS
