Category	GeneSet	N_genes	N_overlap	p	adjP	genes	link
GO_bp	GO_SENSORY_PERCEPTION_OF_SMELL	407	38	1.2126284546284764e-07	0.0008912819141519302	OR4B1:OR4X2:OR4X1:OR4S1:OR4C3:OR4C5:OR4A47:OR4C13:OR4C12:OR4A5:OR4C46:OR4A15:OR4C15:OR4C16:OR4C6:OR5D13:OR5D14:OR5L1:OR5D18:OR5L2:OR5D16:OR5W2:OR5I1:OR10AG1:OR5F1:OR8H2:OR8H3:OR8J3:OR8K5:OR5J2:OR5T2:OR5T3:OR5T1:OR5B17:OR5B3:OR5B2:OR5B21:ADCY3	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_SENSORY_PERCEPTION_OF_SMELL
GO_bp	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	476	41	3.419545761984456e-07	0.0012566830675292877	TAS1R3:GNB1:OR4B1:OR4X2:OR4X1:OR4S1:OR4C3:OR4C5:OR4A47:OR4C13:OR4C12:OR4A5:OR4C46:OR4A15:OR4C15:OR4C16:OR4C6:OR5D13:OR5D14:OR5L1:OR5D18:OR5L2:OR5D16:OR5W2:OR5I1:OR10AG1:OR5F1:OR8H2:OR8H3:OR8J3:OR8K5:OR5J2:OR5T2:OR5T3:OR5T1:OR5B17:OR5B3:OR5B2:OR5B21:ASIC1:ADCY3	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS
GO_bp	GO_EMBRYONIC_SKELETAL_SYSTEM_DEVELOPMENT	126	17	3.3212765623888383e-06	0.008137127577852654	HOXC6:HOXC4:HOXC5:HOXC4:WNT9B:HOXB2:HOXB3:HOXB4:HOXB5:HOXB6:HOXB7:HOXB8:HOXD3:HOXD4:HOXD1:TWIST1:HOXA11:AUTS2	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_EMBRYONIC_SKELETAL_SYSTEM_DEVELOPMENT
GO_bp	GO_REGULATION_OF_SYSTEM_PROCESS	569	43	5.5823979974445055e-06	0.009269819682742087	DVL1:NPPA:NPPB:S100A1:NPR1:AGT:CACNB2:CTNNA3:CAMK2G:PLCE1:ADRB1:TNNT3:ADM:NR1H3:MYBPC3:ARHGAP42:TMEM133:ATP2B1:CUX2:PTPN11:MYH6:MYH7:RAB8B:DLG4:GJC1:CRHR1:MYL4:MTMR4:TBX2:S1PR2:TSHZ3:HRC:KCNK3:OPRL1:HRH1:RHOA:DAG1:CACNA1D:NPNT:GUCY1A3:NOS3:GATA4:NOV:DBH	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_REGULATION_OF_SYSTEM_PROCESS
GO_bp	GO_DETECTION_OF_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION	481	38	7.170815008179478e-06	0.009269819682742087	TAS1R3:OR4B1:OR4X2:OR4X1:OR4S1:OR4C3:OR4C5:OR4A47:OR4C13:OR4C12:OR4A5:OR4C46:OR4A15:OR4C15:OR4C16:OR4C6:OR5D13:OR5D14:OR5L1:OR5D18:OR5L2:OR5D16:OR5W2:OR5I1:OR10AG1:OR5F1:OR8H2:OR8H3:OR8J3:OR8K5:OR5J2:OR5T2:OR5T3:OR5T1:OR5B17:OR5B3:OR5B2:OR5B21	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_DETECTION_OF_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION
GO_bp	GO_EMBRYONIC_SKELETAL_SYSTEM_MORPHOGENESIS	94	14	7.567199741013949e-06	0.009269819682742087	HOXC4:HOXC4:WNT9B:HOXB2:HOXB3:HOXB4:HOXB5:HOXB6:HOXB7:HOXB8:HOXD3:HOXD4:TWIST1:HOXA11:AUTS2	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_EMBRYONIC_SKELETAL_SYSTEM_MORPHOGENESIS
GO_bp	GO_MORPHOGENESIS_OF_AN_EPITHELIAL_SHEET	52	10	1.5406862921656942e-05	0.01617720606773979	DVL1:RHOC:AJUBA:DVL2:HOXB2:HOXB4:JAG1:RHOA:DAG1:BMP5	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_MORPHOGENESIS_OF_AN_EPITHELIAL_SHEET
GWAScatalog	Systolic blood pressure	738	216	1.0979702477419615e-140	1.9928159996516604e-137	CPSF3L:NADK:GNB1:PRDM16:RERE:CASZ1:AGTRAP:MTHFR:CLCN6:NPPA:NPPB:HIVEP3:SZT2:SGIP1:PKN2:GTF2B:WNT2B:ST7L:CAPZA1:MOV10:NGF:NPR1:AGT:CACNB2:C10orf107:ADO:CTNNA3:SYNPO2L:AGAP5:ADK:PLCE1:CYP2C19:CYP2C9:PAX2:WBP1L:CYP17A1:AS3MT:CNNM2:NT5C2:RPEL1:OBFC1:SORCS3:ADRB1:INPP5A:LSP1:TNNT3:SWAP70:ADM:AMPD3:SOX6:LRP4:SLC39A13:PSMC3:RAPSN:MTCH2:AGBL2:NUP160:OR4A47:FOLH1:TRIM48:OR4A15:OR4C16:CTNND1:ZFP91:CNTF:GLYAT:SIPA1:ARHGAP42:TMEM133:CWF19L2:NCAM1:ADAMTS8:COX14:CERS5:HOXC4:HOXC4:ATP2B1:CUX2:SH2B3:ALDH2:RPL6:PTPN11:LSP1:CDC16:HOMEZ:PPP1R3E:MYH6:CDKL1:FERMT2:EIF2AK4:INO80:EXD1:PAQR5:CSK:CPLX3:ULK3:ABHD17C:FURIN:FES:SLC9A3R2:TRAF7:TNRC6A:NOB1:DDX19B:CFDP1:BANP:CRK:SMG6:SLC2A4:NMT1:PLCD3:ACBD4:HEXIM1:HEXIM2:KANSL1:ARL17B:ARL17A:GOSR2:HOXB7:PPM1E:BCAS3:TBX2:C17orf82:MRC2:SEPT9:CYTH1:USP36:SETBP1:WDR7:AP3D1:DOT1L:KDM4B:INSR:S1PR2:RGL3:MYO9B:TSHZ3:SNRNP70:ADCY3:KCNK3:PRKD3:THADA:CEP68:SLC4A10:PPP1R1C:CPS1:FN1:FARP2:JAG1:JPH2:ZNF831:TCEA2:RGS19:SIK1:HRH1:ATG7:FGD5:SLC4A7:ITGA9:ULK4:MAP4:CDC25A:ARIH2:IP6K1:CACNA1D:ITGB5:MECOM:YEATS2:FAM193A:LCORL:SLAIN2:OCIAD1:OCIAD2:CWH43:FGF5:ARHGAP24:NPNT:ZNF827:GUCY1A3:NPR3:ERAP1:FER:PRDM6:FBN2:SH3TC2:EBF1:PHACTR1:HFE:HIST1H4C:COL21A1:PHIP:UFL1:NUS1:STXBP5:PLEKHG1:HDAC9:TWIST1:DFNA5:EVX1:IGFBP3:CDK6:MKLN1:PODXL:NOS3:PRKAG2:CLDN23:TNKS:MSRA:BLK:GATA4:EBF2:SNTG1:ZFHX4:NOV:TRAPPC9:PTP4A3:TSNARE1:SVEP1:DBH	
GWAScatalog	Diastolic blood pressure	592	145	4.563364002053822e-80	4.141252831863844e-77	MRPL20:GNB1:PRDM16:RERE:CASZ1:C1orf167:MTHFR:CLCN6:NPPB:HIVEP3:PKN2:WNT2B:ST7L:CAPZA1:MOV10:NGF:AGT:CACNB2:C10orf107:ADO:PLCE1:CYP2C19:CYP2C9:PAX2:CYP17A1:CNNM2:NT5C2:OBFC1:SORCS3:ADRB1:LSP1:TNNT3:SWAP70:ADM:AMPD3:SOX6:SLC39A13:PSMC3:RAPSN:MTCH2:AGBL2:OR4A47:OR4C16:CNTF:GLYAT:SIPA1:MYEOV:ARHGAP42:TMEM133:CWF19L2:ADAMTS8:COX14:CERS5:HOXC4:HOXC4:ATP2B1:CUX2:SH2B3:ATXN2:ALDH2:HECTD4:RPL6:PTPN11:LSP1:MYH6:FERMT2:EIF2AK4:INO80:PAQR5:CYP1A2:CSK:LMAN1L:CPLX3:ULK3:ABHD17C:FURIN:FES:SLC9A3R2:TRAF7:WWP2:FUK:HYDIN:SLC2A4:PLCD3:TBX2:C17orf82:MRC2:SETBP1:INSR:RGL3:MYO9B:TSHZ3:ADCY3:KCNK3:PRKD3:PDE1A:FN1:JAG1:PREX1:ZNF831:SIK1:HRH1:FGD5:SLC4A7:ULK4:MAP4:CDC25A:IP6K2:IP6K1:CAMKV:CACNA1D:ITGB5:MECOM:OCIAD2:CWH43:FGF5:NPNT:GUCY1A3:NPR3:KIF2A:PRDM6:FBN2:SH3TC2:EBF1:PHACTR1:HFE:COL21A1:PHIP:UFL1:DCBLD1:PLEKHG1:HDAC9:TWIST1:EVX1:IGFBP3:AUTS2:CDK6:PODXL:NOS3:PRKAG2:BLK:GATA4:SNTG1:NOV:TRAPPC9:PTP4A3:SVEP1:DBH	
GWAScatalog	Pulse pressure	647	148	2.3440894125932667e-77	1.4181740946189263e-74	CPSF3L:NADK:CASZ1:MTHFR:NPPA:NPPB:HIVEP3:SGIP1:PKN2:GTF2B:WNT2B:CACNB2:CTNNA3:SIRT1:AGAP5:PLCE1:CYP2C19:CYP2C9:WBP1L:CYP17A1:C10orf32:CNNM2:NT5C2:RPEL1:OBFC1:INPP5A:LSP1:SWAP70:ADM:AMPD3:SOX6:CKAP5:MYBPC3:MTCH2:AGBL2:NUP160:CTNND1:LPXN:CNTF:GLYAT:SIPA1:MYEOV:ARHGAP42:TMEM133:CWF19L2:NCAM1:ADAMTS8:HOXC4:HOXC4:ATP2B1:CUX2:LSP1:CDC16:UPF3A:HOMEZ:PPP1R3E:MYH6:FERMT2:EIF2AK4:INO80:LACTB:ABHD17C:FES:SLC9A3R2:TRAF7:TNRC6A:NFAT5:WWP2:FUK:VAC14:HYDIN:CFDP1:CRK:MYO1C:SMG6:SLC2A4:NMT1:PLCD3:KANSL1:ARL17B:ARL17A:GOSR2:SKAP1:HOXB7:BCAS3:TBX2:MRC2:CYTH1:USP36:SETBP1:AP3D1:DOT1L:PLEKHJ1:SF3A2:AMH:KDM4B:INSR:RGL3:KCNK3:PRKD3:CEP68:PDE1A:FN1:JAG1:JPH2:ZNF831:TCEA2:HRH1:ATG7:FGD5:SLC4A7:ITGA9:ULK4:MAP4:CDC25A:CACNA1D:ITGB5:FAM193A:SLAIN2:FGF5:ARHGAP24:NPNT:ZNF827:GUCY1A3:NPR3:FBXL17:FER:PRDM6:FBN2:EBF1:PHACTR1:HIST1H2AC:COL21A1:UFL1:FHL5:FNDC1:HDAC9:TWIST1:EVX1:EEPD1:IGFBP3:CDK6:PODXL:PRKAG2:MSRA:BLK:SNTG1:ZFHX4:NOV:TRAPPC9:SVEP1	
