description	trait	weight	weight_predictdb	h2med	h2nonmed	h2
LDL direct (quantile)	ukb-d-30780_irnt	Liver	NA	0.0330090103417423	0.0654266855929558	0.0984356959346981
Systolic blood pressure automated reading	ukb-a-360	Adipose_Subcutaneous	NA	0.00963259308038549	0.125499792899415	0.135132385979801
Systolic blood pressure automated reading	ukb-a-360	Adipose_Visceral_Omentum	NA	0.00841581250881788	0.12640449782371	0.134820310332528
Systolic blood pressure automated reading	ukb-a-360	Adrenal_Gland	NA	0.0129130794261057	0.122243562269451	0.135156641695557
Systolic blood pressure automated reading	ukb-a-360	Artery_Aorta	NA	0.0217823544066779	0.114189628894739	0.135971983301417
Systolic blood pressure automated reading	ukb-a-360	Artery_Coronary	NA	0.00897027095155659	0.125940479430551	0.134910750382107
Systolic blood pressure automated reading	ukb-a-360	Artery_Tibial	NA	0.0142934482023813	0.121072107204084	0.135365555406465
Systolic blood pressure automated reading	ukb-a-360	Brain_Amygdala	NA	0.00360793731318043	0.131564268388767	0.135172205701947
Systolic blood pressure automated reading	ukb-a-360	Brain_Anterior_cingulate_cortex_BA24	NA	0.00212239398079817	0.132555799532924	0.134678193513722
Systolic blood pressure automated reading	ukb-a-360	Brain_Caudate_basal_ganglia	NA	0.00517125601237873	0.129870524601998	0.135041780614377
Systolic blood pressure automated reading	ukb-a-360	Brain_Cerebellar_Hemisphere	NA	0.00463263170539285	0.130259312771988	0.134891944477381
Systolic blood pressure automated reading	ukb-a-360	Brain_Cerebellum	NA	0.00882229338792217	0.126928920006909	0.135751213394831
Systolic blood pressure automated reading	ukb-a-360	Brain_Cortex	NA	0.00491695736258553	0.130355386436141	0.135272343798727
Systolic blood pressure automated reading	ukb-a-360	Brain_Frontal_Cortex_BA9	NA	0.00443146658126638	0.130591261970587	0.135022728551853
Systolic blood pressure automated reading	ukb-a-360	Brain_Hippocampus	NA	0.00393966799188722	0.131386679520904	0.135326347512791
Systolic blood pressure automated reading	ukb-a-360	Brain_Hypothalamus	NA	0.00326889630367737	0.131856038986809	0.135124935290486
Systolic blood pressure automated reading	ukb-a-360	Brain_Nucleus_accumbens_basal_ganglia	NA	0.00290734983163177	0.132029631082811	0.134936980914443
Systolic blood pressure automated reading	ukb-a-360	Brain_Putamen_basal_ganglia	NA	0.00529485604790301	0.130148167493428	0.135443023541331
Systolic blood pressure automated reading	ukb-a-360	Brain_Spinal_cord_cervical_c-1	NA	0.000225322500873177	0.134052071090868	0.134277393591741
Systolic blood pressure automated reading	ukb-a-360	Brain_Substantia_nigra	NA	-0.00049847727115489	0.134984577984147	0.134486100712992
