Category	GeneSet	N_genes	N_overlap	p	adjP	genes	link
GO_bp	GO_NUCLEOSOME_ORGANIZATION	168	48	1.459420210885011e-33	6.958008392411655e-30	ANP32E:CENPT:CENPM:PBRM1:HIST1H2BA:HIST1H1A:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2BB:HIST1H3C:HIST1H1C:HIST1H4C:HIST1H1T:HIST1H2BC:HIST1H1E:HIST1H2BD:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H3E:HIST1H1D:HIST1H4F:HIST1H4G:HIST1H3F:HIST1H2BH:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H2BJ:HIST1H2BK:HIST1H4I:HIST1H2BL:HIST1H3H:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H2BN:HIST1H1B:HIST1H3I:HIST1H4L:HIST1H3J:HIST1H2BO:DAXX	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_NUCLEOSOME_ORGANIZATION
GO_bp	GO_CHROMATIN_ASSEMBLY	152	46	1.8933356169827634e-33	6.958008392411655e-30	CENPT:CENPM:HIST1H2BA:HIST1H1A:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2BB:HIST1H3C:HIST1H1C:HIST1H4C:HIST1H1T:HIST1H2BC:HIST1H1E:HIST1H2BD:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H3E:HIST1H1D:HIST1H4F:HIST1H4G:HIST1H3F:HIST1H2BH:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H2BJ:HIST1H2BK:HIST1H4I:HIST1H2BL:HIST1H3H:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H2BN:HIST1H1B:HIST1H3I:HIST1H4L:HIST1H3J:HIST1H2BO:DAXX	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CHROMATIN_ASSEMBLY
GO_bp	GO_CHROMATIN_ASSEMBLY_OR_DISASSEMBLY	178	48	2.827665995930177e-32	6.927781690028933e-29	HIRIP3:CENPT:CENPM:PBRM1:HIST1H2BA:HIST1H1A:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2BB:HIST1H3C:HIST1H1C:HIST1H4C:HIST1H1T:HIST1H2BC:HIST1H1E:HIST1H2BD:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H3E:HIST1H1D:HIST1H4F:HIST1H4G:HIST1H3F:HIST1H2BH:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H2BJ:HIST1H2BK:HIST1H4I:HIST1H2BL:HIST1H3H:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H2BN:HIST1H1B:HIST1H3I:HIST1H4L:HIST1H3J:HIST1H2BO:DAXX	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CHROMATIN_ASSEMBLY_OR_DISASSEMBLY
GO_bp	GO_DNA_PACKAGING	195	47	3.116623611090074e-29	5.726795885378011e-26	CENPT:TSSK6:CENPM:HIST1H2BA:HIST1H1A:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2BB:HIST1H3C:HIST1H1C:HIST1H4C:HIST1H1T:HIST1H2BC:HIST1H1E:HIST1H2BD:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H3E:HIST1H1D:HIST1H4F:HIST1H4G:HIST1H3F:HIST1H2BH:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H2BJ:HIST1H2BK:HIST1H4I:HIST1H2BL:HIST1H3H:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H2BN:HIST1H1B:HIST1H3I:HIST1H4L:HIST1H3J:HIST1H2BO:DAXX	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_DNA_PACKAGING
GO_bp	GO_CHROMATIN_ORGANIZATION	758	88	2.6106554832093345e-28	3.837663560317722e-25	RERE:KDM4A:ANP32E:PCGF6:DDB2:RELA:KAT5:SETD8:PRKD1:PRKCB:HIRIP3:INO80E:MAPK3:SETD6:CENPT:PRMT7:SREBF1:TSSK6:PRMT1:SATB2:EP300:L3MBTL2:CENPM:WDR82:PBRM1:SFMBT1:PRKCD:ATXN7:MSL2:KDM3B:HIST1H2AA:HIST1H2BA:HIST1H1A:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2AB:HIST1H2BB:HIST1H3C:HIST1H1C:HIST1H4C:HIST1H1T:HIST1H2BC:HIST1H2AC:HIST1H1E:HIST1H2BD:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2AD:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H2AE:HIST1H3E:HIST1H1D:HIST1H4F:HIST1H4G:HIST1H3F:HIST1H2BH:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H2BJ:HIST1H2AG:HIST1H2BK:HIST1H4I:HIST1H2AH:HIST1H2BL:HIST1H2AI:HIST1H3H:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H2AK:HIST1H2BN:HIST1H2AL:HIST1H1B:HIST1H3I:HIST1H4L:HIST1H3J:HIST1H2AM:HIST1H2BO:DAXX:PHF1:KMT2E:WHSC1L1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CHROMATIN_ORGANIZATION
GO_bp	GO_PROTEIN_DNA_COMPLEX_SUBUNIT_ORGANIZATION	266	50	1.1024265992538855e-25	1.3504725840860096e-22	ANP32E:DDB2:CENPT:TCF4:CENPM:PBRM1:HIST1H2BA:HIST1H1A:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2BB:HIST1H3C:HIST1H1C:HIST1H4C:HIST1H1T:HIST1H2BC:HIST1H1E:HIST1H2BD:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H3E:HIST1H1D:HIST1H4F:HIST1H4G:HIST1H3F:HIST1H2BH:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H2BJ:HIST1H2BK:HIST1H4I:HIST1H2BL:HIST1H3H:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H2BN:HIST1H1B:HIST1H3I:HIST1H4L:HIST1H3J:HIST1H2BO:DAXX	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_PROTEIN_DNA_COMPLEX_SUBUNIT_ORGANIZATION
GO_bp	GO_DNA_REPLICATION_DEPENDENT_NUCLEOSOME_ORGANIZATION	32	21	7.3808490681611955e-25	7.749891521569256e-22	HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H3C:HIST1H4C:HIST1H4D:HIST1H3D:HIST1H4E:HIST1H3E:HIST1H4F:HIST1H3F:HIST1H3G:HIST1H4H:HIST1H4I:HIST1H3H:HIST1H4J:HIST1H4K:HIST1H3I:HIST1H4L:HIST1H3J	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_DNA_REPLICATION_DEPENDENT_NUCLEOSOME_ORGANIZATION
GO_bp	GO_DNA_CONFORMATION_CHANGE	288	48	2.475541006330719e-22	2.2744032995663484e-19	DDB2:CENPT:TSSK6:CENPM:HIST1H2BA:HIST1H1A:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2BB:HIST1H3C:HIST1H1C:HIST1H4C:HIST1H1T:HIST1H2BC:HIST1H1E:HIST1H2BD:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H3E:HIST1H1D:HIST1H4F:HIST1H4G:HIST1H3F:HIST1H2BH:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H2BJ:HIST1H2BK:HIST1H4I:HIST1H2BL:HIST1H3H:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H2BN:HIST1H1B:HIST1H3I:HIST1H4L:HIST1H3J:HIST1H2BO:DAXX	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_DNA_CONFORMATION_CHANGE
GO_bp	GO_CHROMATIN_SILENCING_AT_RDNA	40	21	5.9983921571770165e-22	4.89868692836123e-19	HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H3C:HIST1H4C:HIST1H4D:HIST1H3D:HIST1H4E:HIST1H3E:HIST1H4F:HIST1H3F:HIST1H3G:HIST1H4H:HIST1H4I:HIST1H3H:HIST1H4J:HIST1H4K:HIST1H3I:HIST1H4L:HIST1H3J	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CHROMATIN_SILENCING_AT_RDNA
GO_bp	GO_CHROMOSOME_ORGANIZATION	1160	98	6.055804529455183e-21	4.45101632914956e-18	RERE:KDM4A:ANP32E:HORMAD1:PCGF6:DDB2:RELA:KAT5:SETD8:PRKD1:XRCC3:PRKCB:HIRIP3:INO80E:MAPK3:SETD6:CENPT:PRMT7:SMG6:SREBF1:MAU2:TSSK6:PRMT1:SATB2:CUL3:EP300:L3MBTL2:MEI1:CENPM:WDR82:PBRM1:GNL3:SFMBT1:PRKCD:ATXN7:MSL2:STAG1:KDM3B:HIST1H2AA:HIST1H2BA:HIST1H1A:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2AB:HIST1H2BB:HIST1H3C:HIST1H1C:HIST1H4C:HIST1H1T:HIST1H2BC:HIST1H2AC:HIST1H1E:HIST1H2BD:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2AD:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H2AE:HIST1H3E:HIST1H1D:HIST1H4F:HIST1H4G:HIST1H3F:HIST1H2BH:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H2BJ:HIST1H2AG:HIST1H2BK:HIST1H4I:HIST1H2AH:HIST1H2BL:HIST1H2AI:HIST1H3H:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H2AK:HIST1H2BN:HIST1H2AL:HIST1H1B:HIST1H3I:HIST1H4L:HIST1H3J:HIST1H2AM:HIST1H2BO:DAXX:KIFC1:PHF1:MAD1L1:KMT2E:WHSC1L1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CHROMOSOME_ORGANIZATION
