userId	geneSymbol	geneName	entrezgene	gLink
MRPL20	MRPL20	mitochondrial ribosomal protein L20	55052	https://www.ncbi.nlm.nih.gov/gene/?term=55052
ERRFI1	ERRFI1	ERBB receptor feedback inhibitor 1	54206	https://www.ncbi.nlm.nih.gov/gene/?term=54206
RNF186	RNF186	ring finger protein 186	54546	https://www.ncbi.nlm.nih.gov/gene/?term=54546
OAZ3	OAZ3	ornithine decarboxylase antizyme 3	51686	https://www.ncbi.nlm.nih.gov/gene/?term=51686
ADAM15	ADAM15	ADAM metallopeptidase domain 15	8751	https://www.ncbi.nlm.nih.gov/gene/?term=8751
EFNA1	EFNA1	ephrin A1	1942	https://www.ncbi.nlm.nih.gov/gene/?term=1942
MUC1	MUC1	mucin 1, cell surface associated	4582	https://www.ncbi.nlm.nih.gov/gene/?term=4582
CD244	CD244	CD244 molecule	51744	https://www.ncbi.nlm.nih.gov/gene/?term=51744
FCGR2A	FCGR2A	Fc fragment of IgG receptor IIa	2212	https://www.ncbi.nlm.nih.gov/gene/?term=2212
ACBD3	ACBD3	acyl-CoA binding domain containing 3	64746	https://www.ncbi.nlm.nih.gov/gene/?term=64746
FOSL2	FOSL2	FOS like 2, AP-1 transcription factor subunit	2355	https://www.ncbi.nlm.nih.gov/gene/?term=2355
ZFP36L2	ZFP36L2	ZFP36 ring finger protein like 2	678	https://www.ncbi.nlm.nih.gov/gene/?term=678
IL1R2	IL1R2	interleukin 1 receptor type 2	7850	https://www.ncbi.nlm.nih.gov/gene/?term=7850
PAX8	PAX8	paired box 8	7849	https://www.ncbi.nlm.nih.gov/gene/?term=7849
HOXD1	HOXD1	homeobox D1	3231	https://www.ncbi.nlm.nih.gov/gene/?term=3231
CCL20	CCL20	C-C motif chemokine ligand 20	6364	https://www.ncbi.nlm.nih.gov/gene/?term=6364
ATG16L1	ATG16L1	autophagy related 16 like 1	55054	https://www.ncbi.nlm.nih.gov/gene/?term=55054
CCR5	CCR5	C-C motif chemokine receptor 5 (gene/pseudogene)	1234	https://www.ncbi.nlm.nih.gov/gene/?term=1234
CD200R1	CD200R1	CD200 receptor 1	131450	https://www.ncbi.nlm.nih.gov/gene/?term=131450
RASA2	RASA2	RAS p21 protein activator 2	5922	https://www.ncbi.nlm.nih.gov/gene/?term=5922
ANKRD55	ANKRD55	ankyrin repeat domain 55	79722	https://www.ncbi.nlm.nih.gov/gene/?term=79722
NDFIP1	NDFIP1	Nedd4 family interacting protein 1	80762	https://www.ncbi.nlm.nih.gov/gene/?term=80762
ZNF300	ZNF300	zinc finger protein 300	91975	https://www.ncbi.nlm.nih.gov/gene/?term=91975
RGS14	RGS14	regulator of G protein signaling 14	10636	https://www.ncbi.nlm.nih.gov/gene/?term=10636
HFE	HFE	homeostatic iron regulator	3077	https://www.ncbi.nlm.nih.gov/gene/?term=3077
GABBR1	GABBR1	gamma-aminobutyric acid type B receptor subunit 1	2550	https://www.ncbi.nlm.nih.gov/gene/?term=2550
LST1	LST1	leukocyte specific transcript 1	7940	https://www.ncbi.nlm.nih.gov/gene/?term=7940
POM121C	POM121C	POM121 transmembrane nucleoporin C	100101267	https://www.ncbi.nlm.nih.gov/gene/?term=100101267
UBE2W	UBE2W	ubiquitin conjugating enzyme E2 W	55284	https://www.ncbi.nlm.nih.gov/gene/?term=55284
TNFSF15	TNFSF15	TNF superfamily member 15	9966	https://www.ncbi.nlm.nih.gov/gene/?term=9966
CARD9	CARD9	caspase recruitment domain family member 9	64170	https://www.ncbi.nlm.nih.gov/gene/?term=64170
TFAM	TFAM	transcription factor A, mitochondrial	7019	https://www.ncbi.nlm.nih.gov/gene/?term=7019
C10orf105	C10orf105	chromosome 10 open reading frame 105	414152	https://www.ncbi.nlm.nih.gov/gene/?term=414152
FAM53B	FAM53B	family with sequence similarity 53 member B	9679	https://www.ncbi.nlm.nih.gov/gene/?term=9679
LSP1	LSP1	lymphocyte specific protein 1	4046	https://www.ncbi.nlm.nih.gov/gene/?term=4046
LTBP3	LTBP3	latent transforming growth factor beta binding protein 3	4054	https://www.ncbi.nlm.nih.gov/gene/?term=4054
EFEMP2	EFEMP2	EGF containing fibulin extracellular matrix protein 2	30008	https://www.ncbi.nlm.nih.gov/gene/?term=30008
STARD10	STARD10	StAR related lipid transfer domain containing 10	10809	https://www.ncbi.nlm.nih.gov/gene/?term=10809
ADCY9	ADCY9	adenylate cyclase 9	115	https://www.ncbi.nlm.nih.gov/gene/?term=115
SOCS1	SOCS1	suppressor of cytokine signaling 1	8651	https://www.ncbi.nlm.nih.gov/gene/?term=8651
NPIPB3	NPIPB3	nuclear pore complex interacting protein family member B3	23117	https://www.ncbi.nlm.nih.gov/gene/?term=23117
ITGAL	ITGAL	integrin subunit alpha L	3683	https://www.ncbi.nlm.nih.gov/gene/?term=3683
BRD7	BRD7	bromodomain containing 7	29117	https://www.ncbi.nlm.nih.gov/gene/?term=29117
IRF8	IRF8	interferon regulatory factor 8	3394	https://www.ncbi.nlm.nih.gov/gene/?term=3394
CRK	CRK	CRK proto-oncogene, adaptor protein	1398	https://www.ncbi.nlm.nih.gov/gene/?term=1398
CASC3	CASC3	CASC3, exon junction complex subunit	22794	https://www.ncbi.nlm.nih.gov/gene/?term=22794
STAT3	STAT3	signal transducer and activator of transcription 3	6774	https://www.ncbi.nlm.nih.gov/gene/?term=6774
SBNO2	SBNO2	strawberry notch homolog 2	22904	https://www.ncbi.nlm.nih.gov/gene/?term=22904
SH2D3A	SH2D3A	SH2 domain containing 3A	10045	https://www.ncbi.nlm.nih.gov/gene/?term=10045
